python-pillow 8.1.0-1
python-pip 20.3.1-1
python-pivy 0.6.5-3
python-ply 3.11-7
python-progress 1.5-5
python-psutil 5.8.0-1
python-pyalsa 1.1.6-6
python-pyasn1 0.4.8-4
python-pycparser 2.20-3
python-pygments 2.7.4-1
python-pyopenssl 20.0.1-1
python-pyparsing 2.4.7-3
python-pyserial 3.5-1
python-pytoml 0.1.21-6
python-pywal 3.3.0-3
python-requests 2.25.1-1
python-resolvelib 0.5.4-1
python-retrying 1.3.3-9
python-rsa 4.7-1
python-s3transfer 0.3.4-1
python-setproctitle 1.2.1-1
python-setuptools 1:51.3.3-1
python-shiboken2 5.15.2-4
python-six 1.15.0-3
python-toml 0.10.2-3
python-urllib3 1.26.2-1
python-webencodings 0.5.1-6
python-wxpython 4.0.7.2-5
python-xapp 2.0.2-2
python-yaml 5.3.1-4
python2 2.7.18-2
python2-appdirs 1.4.4-3
python2-cairo 1.18.2-4
python2-gobject2 2.28.7-6
python2-numpy 1.16.6-1
python2-ordered-set 3.1.1-3
python2-packaging 20.8-2
python2-pyparsing 2.4.7-3
python2-setuptools 2:44.1.1-1
python2-six 1.15.0-3
qhull 2020.2-4
qpdf 10.1.0-1
qt5-base 5.15.2-3
qt5-declarative 5.15.2-1
qt5-graphicaleffects 5.15.2-1
qt5-location 5.15.2-2
qt5-multimedia 5.15.2-1
qt5-quickcontrols 5.15.2-1
qt5-quickcontrols2 5.15.2-1
qt5-sensors 5.15.2-1
qt5-speech 5.15.2-1
qt5-svg 5.15.2-1
qt5-tools 5.15.2-2
qt5-wayland 5.15.2-1
qt5-webchannel 5.15.2-1
qt5-webengine 5.15.2-3
qt5-webkit 5.212.0alpha4-9
qt5-x11extras 5.15.2-1
qt5-xmlpatterns 5.15.2-1
raptor 2.0.15-15
rasqal 1:0.9.33-4
rav1e 0.4.0-1
re2 1:20201101-1
readline 8.1.0-2
redland 1:1.0.17-8
rest 0.8.1-3
rhash 1.4.1-1
ripgrep 12.1.1-1
rofi 1.6.1-1
rogue 5.4.4-7
rpm-tools 4.16.1.2-1
rtkit 0.13-1
rubberband 1.9.1-1
run-parts 4.8.6.1-2
rxvt-unicode-terminfo 9.22-10
sane 1.0.31-3
sbc 1.5-1
sdl 1.2.15-14
sdl2 2.0.14-1
sdl_image 1.2.12-7
sdl_ttf 2.0.11-6
sed 4.8-1
semver 7.3.4-1
shaderc 2020.3-1
shadow 4.8.1-4
shared-mime-info 2.0+57+gc1d1c70-1
signon-kwallet-extension 20.12.1-1
signon-plugin-oauth2 0.25-1
signon-ui 0.17+20171022-2
signond 8.60-3
slack-desktop 4.4.3-1
slock 1.4-4
snapd 2.48-1
snappy 1.1.8-2
socat 1.7.4.1-1
solid 5.78.0-1
sonnet 5.78.0-1
soqt 1.6.0-2
sound-theme-freedesktop 0.8-4
speex 1.2.0-3
speexdsp 1.2.0-2
spirv-tools 2020.4-1
sqlite 3.34.0-1
squashfs-tools 4.4-2
srt 1.4.2-1
st 0.8.3-1
startup-notification 0.12-7
steam 1.0.0.68-1
sudo 1.9.5.p1-1
suitesparse 5.8.1-1
sysfsutils 2.1.0-11
sysstat 12.4.0-2
